Content,Label
"<span style=""font-size: 14pt; line-height: 115%; font-family: Calibri, sans-serif; color: rgb(13, 13, 13);""><span style=""font-size: 14pt; line-height: 115%; font-family: Calibri, sans-serif;"">A very great helpful content for the good information about CSV File.&nbsp;</span>This file is a simple file format use to store tabular information.</span><div><font face=""Verdana, sans-serif""><span style=""font-size: 12px;""><br></span></font><div>Regards,</div><div><b><a href=""http://www.assertmeds.com/kamagra.html"" target="""" title="""">Online Kamagra</a></b></div></div>",1
"Home</a></li><li><a href=""http://download.cnet.com/windows/?tag=bc"">Windows Software</a></li><li><a href=""http://download.cnet.com/s/biz-soft/windows/?tag=bc"">Business Software</a></li><li><a href=""http://download.cnet.com/s/business-office-suites/windows/?tag=bc"">Office Suites</a></li><li class=""breadcrumb-last OneLinkNoTx"">LibreOffice</li></ul>\r\n</nav>\r\n\r\n        \r\n                \r\n        <header class=""nolinks"">\r\n            <h1><img src=""http://i.i.cbsi.com/cnwk.1d/i/tim2/2015/05/08/iconimg_131021_64x64.png"" class=""icon x64""><span itemprop=""name"" class=""OneLinkNoTx"">LibreOffice</span></h1>\r\n            <span>\r\n                        \r\n\r\n\r\n            </span>\r\n        </header>\r\n\r\n                                                                    \r\n    \r\n                                                        \r\n                                    \r\n<div id=""product-upper-container"">\r\n    <div class=""button-ratings-container"">\r\n        <div class=""button"">\r\n            \r\n\r\n        <div class=""download-now title-detail-button-dln"" data-dl-url=""http://files.downloadnow-2.com/s/software/15/69/62/87/LibreOffice_5.3.0_Win_x86.msi?token=1486572982_4001a2276aaa63a553a0b531d98c887c&amp;fileName=LibreOffice_5.3.0_Win_x86.msi"" data-product-id=""75337651"" data-version-id=""15696287"" data-pdl-no-dl=""http://dw.cbsi.com/redir?ttag=download_now_button_click&amp;lop=link&amp;ptid=3000&amp;pagetype=product_detail&amp;astid=2&amp;edid=3&amp;siteid=4&amp;destUrl=http%3A%2F%2Fdownload.cnet.com%2FLibreOffice%2F3001-18483_4-75337651.html%3FhasJs%3Dn%26idl%3Dn&amp;onid=18483&amp;oid=3000-18483_4-75337651&amp;rsid=cbsidownloadcomsite&amp;sl=en&amp;sc=us&amp;topicguid=biz-soft%2Foffice-suites&amp;topicbrcrm=&amp;pid=15696287&amp;mfgid=10121673&amp;merid=10121673&amp;ctype=dm&amp;cval=NONE&amp;ltype=dl_dlnow&amp;spi=2097e6689047710fb4b65622a22ce514&amp;devicetype=desktop&amp;pguid=9de03fe165209670da9dca5e&amp;viewguid=iawRasLqihUJd7E-qadUhPZRp6LCbVNqu8eQ"" data-product-title=""LibreOffice"" data-om-version-id=""15696287"" data-om-product-set-id=""75337651"" data-om-product-name=""LibreOffice"">\r\n                <a data-href=""http://dw.cbsi.com/redir?ttag=download_now_button_click&amp;lop=link&amp;ptid=3000&amp;pagetype=product_detail&amp;astid=2&amp;edid=3&amp;siteid=4&amp;destUrl=http%3A%2F%2Fdownload.cnet.com%2FLibreOffice%2F3001-18483_4-75337651.html%3FhasJs%3Dn&amp;onid=18483&amp;oid=3000-18483_4-75337651&amp;rsid=cbsidownloadcomsite&amp;sl=en&amp;sc=us&amp;topicguid=biz-soft%2Foffice-suites&amp;topicbrcrm=&amp;pid=15696287&amp;mfgid=10121673&amp;merid=10121673&amp;ctype=dm&amp;cval=NONE&amp;ltype=dl_dlnow&amp;spi=9ffd46002988c3a861ab27b108a02664&amp;devicetype=desktop&amp;pguid=9de03fe165209670da9dca5e&amp;viewguid=iawRasLqihUJd7E-qadUhPZRp6LCbVNqu8eQ"" class=""dln-a"">\r\n                                        <span id=""download-now-btn-text"" class=""dln-cta"">Download Now</span>\r\n            \r\n                                        <span id=""button-dlm-sub-message-info"" class=""dln-sub-message"">Secure Download</span>\r\n            \r\n            \r\n        </a>\r\n    </div>\r\n\r\n\r\n        </div>\r\n\r\n                                    <div id=""editorRating"">\r\n                         <div class=""product-landing-quick-specs-ratings-label"">\r\n         Download Editors' Rating:\r\n     </div>\r\n    \r\n     <div class=""product-landing-quick-specs-editor-reviews-stars"">\r\n              <span itemid=""editor-review"" itemscope="""" itemtype=""http://schema.org/Review"">\r\n        <a class=""edRate medium s4h"" href=""http://download.cnet.com/LibreOffice/3000-18483_4-75337651.html#review"">\r\n            <span itemprop=""reviewRating"" itemscope="""" itemtype=""http://schema.org/Rating"">\r\n                <span itemprop=""ratingValue"">4.5</span>\r\n            </span>\r\n        </a>\r\n    </span>\r\n     </div>\r\n     <div class=""product-landing-quick-specs-row-content"">\r\n                               Outstanding\r\n                                                                                      </div>\r\n                </div>\r\n                                        <div itemprop=""aggregateRating"" itemscope="""" itemtype=""http://schema.org/AggregateRating"" id=""aveUserRating"" class=""OneLinkHide"">\r\n                    \r\n\r\n<div class=""product-landing-quick-specs-ratings-label"">Average User Rating:</div>\r\n   <div class=""product-landing-quick-specs-user-reviews-stars"">\r\n            \r\n    \r\n    <a class=""userRate medium desktopRating s4"" href=""http://download.cnet.com/LibreOffice/3000-18483_4-75337651.html#userReviews"">\r\n        <span itemprop=""ratingValue"">4.0</span>\r\n    </a>\r\n                    \r\n   </div>\r\n       <div class=""product-landing-quick-specs-row-content"">\r\n        <span itemprop=""reviewCount"" class=""userVotes count desktopRating"">\r\n            out of 179 votes        </span>\r\n        \r\n    </div>\r\n                   </div>\r\n                        </div>\r\n\r\n    \r\n</div>        \r\n                    \r\n                \r\n                    <div id=""uvp-video""> <div id=""product-video-container"" data-component=""follow-video"" data-follow-video-options=""{&quot;offset&quot;:-174}""> <h2>What do you need to know about free software?</h2> <div class=""video-wrapper"">   </div> </div> </div>\r\n                    \r\n                    \r\n                                                            \r\n                    \r\n                    \r\n                    \r\n\r\n                    \r\n        \r\n\r\n                    \r\n    \r\n\r\n                                            \r\n    \r\n        <div class=""heading-container""><h2 id=""editor-review"">Editors' Review</h2><span class=""truncator"">+</span></div>\r\n        <p id=""review-author"" class=""meta-author"" itemprop=""author"" itemscope="""" itemtype=""http://schema.org/Person"">\r\n                            by:\r\n                <a href=""http://www.cnet.com/profiles/Download.com%20Staff"">\r\n                   <span class=""OneLinkNoTx"" rel=""author"" itemprop=""name"">Download.com staff</span>\r\n                </a>\r\n                                    on September 03, 2014\r\n                    </p>\r\n                \r\n            \r\n                <span itemprop=""reviewBody"">\r\n                <p> \tLibreOffice is a free suite of apps for creating \r\ntext documents, spreadsheets, presentations, and more, which you can \r\nthen save in Microsoft Office formats. With LibreOffice, you get nearly \r\nall the functionality of paid word processing and other programs without\r\n the hefty price tag.</p></span>",1
"This is most reliable post for users.For tabular information its amazing news.<div>Regards:</div><div><a href=""https://www.aaroneu.com/"" title=""Designer Clothing"" target=""_blank""><b>Designer Clothing</b></a></div>",1
abcd,1
hello world,1
I am unable to type in Hindi in q&amp;a in this website.&nbsp;,1
"I conducted workshop on 28.02.2014.But it still shows the list of 
completed workshop is empty.Is there any other steps i will do?",1
"sir,my name is sreekanth and am studying b.tech.I have doubt that whether this program is providing any certification like thing and if it is then can you please tell me critera for obtaining certification.",1
How do i get the enrollment key for the courses to give the test..??<br>I am not attending any workshop...just learning from the downladed tutorials.<br>,1
how to import any video lecture from my collection on spoken tutorial?<br>how to dub that video?<br>,1
I have registered as invigilator two days ago on this id. Let me know the status of my request to act as invigilator. I couldnot find my name in list of registered invigilators of our college (SJCE_123). Kindly do needful so as i can conduct online test on monday.,1
"Hello,<div><br></div><div>How to obtain old certificates ??</div>",1
"Respected sir,<br>&nbsp;&nbsp;&nbsp;&nbsp; I am appear in 9th std. I joined your training program. So please sent me information about the stages of study, contact on No. 9881523385.<br>&nbsp;e-mail-&nbsp; narendradahile@yahoo.com<br>",1
our college name is not included in&nbsp AP list of colleges,1
"Respected sir/madam,<div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Greetings.I am k.karthik,Asst. Professor from PSYEC,Sivagangai.My question is ""Is it possible for an organizer or other faculty member to attend workshop,take online test and receive certificate?"".</div><div><br></div><div>Thanks &amp; Regards,</div><div>K.Karthik.</div>",1
"Respected sir/madam, Greetings.I am K.Karthik,Assistant professor from Pandian Saraswathi yadav Engineering College,Sivagangai.I am the organizer of spoken tutorial for ECE department.I have conducted a training programme on SCILAB(Training - WC-15652) for 39 students on 7.1.2015. When I asked them to give feedback about the workshop, most of the students reported that they didn't  receive  any  login details(username and password) from you. So kindly take necessary actions to clear this issue. Thanks. Regards. K.Karthik,  AP/ECE, PSYEC.",1
"<span style=""line-height: 21.4286px;"">the certificates which was provided after the online test on 17 sept. 2014 ...... are lost by me &nbsp;of(java and cpp)..... can i get them again ?</span><div style=""line-height: 21.4286px;"">and i dont have second login user name and password. i want to give the online test again ?</div>",1
"<b><font size=""3"">How to do a free certification course in spoken tutorial?</font></b>",1
"Dear admin,<div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;We registered for Webtechnology-Java Semester training program. Even though, the training got over,the certificate for the program is not available.Please let me know the procedure to get the certificate.</div>",1
i conducted this course for my students ....... can i get participant certificate for those students? i already posted the attendance......,1
We have selected the participant list from the master batch. How to mark attendance for these students after the completion of FOSS. Kindly clarify,1
"I want to find out whether it is possible to conduct these classes in the windows platform rather than the Ubuntu environment. Students are actually facing some difficulty using commands etc&nbsp; in doing it in the Ubuntu platform, and would prefer to do it in Windows environment. Can you please advise if this will be possible without any difficulty?<br><br>Thanks,<br><br>Priyanka<br>",1
"Dear Sir/Madam,<div>Greetings!</div><div>In next semester, our new batch we would like to introduce this course in their course curriculum. It would be a great opportunity for all our students if they can get exposure to other OR topics such as 'Transportation', 'Assignment', 'Goal Programming'.</div><div><br></div><div>Thank you.</div><div><br></div><div>Regards</div><div>S. Choudhury</div><div>NERIST,</div><div>Arunachal Pradesh</div>",1
"Hi, <br>Good Morning all<br><br>&nbsp;can anyone inform me regarding MBA Students practice material ?<br>what all a MBA Student must Practice from Spoken Tutorial portal?<br>",1
"hai sir,<div>i have registered to spoken tutorial and i viewed and learned some course, now the question is i want to take test and get certificate and my college is not registered with this and as i am a student i registered volunteerly to this now how can i take test alone ?</div><div>please help me out with this problem</div>",1
"<div class=""title "">Certificate not yer received for Semester training program</div><div class=""body"" id="""" style=""padding: 10px; line-height: 21.4286px; background: rgb(250, 250, 250);"">Dear admin,<div>We registered for Webtechnology-Java Semester training program. Even though, the training got over,the certificate for the program is not available.Please let me know the procedure to get the certificate.</div></div>",1
"<span style=""line-height: 21.4286px;"">&nbsp; Hi team,</span><div style=""line-height: 21.4286px;"">&nbsp; I had completed my Java test on 20th February 2016 and passed it but, I haven't received my certificate copy yet where can i find my &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; certificate.</div><div style=""line-height: 21.4286px;"">&nbsp; Please let me know as soon as possible.</div>",1
Is it possible to change the email id&nbsp  of the students on the day of examination.<br>,1
"Dear Sir,<br>I am Dr. S. Subbaiah from Vivekanandha College of Arts and Sciences for Women(Autonomous), Namakkal, Tamilnadu.<br> We got the approval to conduct the online test as like below:<br><br><b>Your Cpp test on 2016-12-22 13:30:00 has been approved.</b>The test code is\\r\\n TC-15705. This code is very important, please preserve it for your \\r\\nfuture reference and also share it with the students and invigilator on \\r\\nthe test day.<br><br>On the test day, Invigilator marked the students attendance, students took the online test, completed their test and their marks also displayed immediately after completing the test. But, if we view the <b>""Online-Test Statistics"",</b>we could not view our college name. I want to take print out about the ""Students Name and Mark List"" who have attended the Test. How to do? Did we make any mistakes while conducting the Online Test? Whether we have to conduct another online test? <br>Please reply me soon. <br><br>Thanking you,<br><br>With Regards,<br>Dr. S. Subbaiah<br>",1
"Dear Sir/madam,<div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Unfortunately i had not downloaded the certificate of workshop. Will you resend to me please?</div><div>&nbsp;Thank you.&nbsp;</div>",1
"I am a b.tech student and My department is information technology. I am in 3rd year and have to do training in one field.&nbsp;<span style=""line-height: 1.428571429; -webkit-text-size-adjust: 100%;"">I am not good in programming languages. So in which field of computer I should pursue to have better future. And currently in which field i should do training.</span>",1
when will be the test date announced for any course we opt??Is it important to read all the tutorials for giving the test?,1
when do i have java exam for certification<div><br></div>,1
"Till what date you will upload intermediate and advance level.<div>This level will help many student to do excellent in Arduino.</div><div><br></div><div>Yours truly,</div><div>H.Ghuge</div>",1
What is the procedure to attend online test?<div><br></div>,1
"I am forget to take certificate of online test that is (C and Cpp)... on 19 dec 2014 .... how can i take this certificate ....now..<div>details are</div><dt style=""line-height: 1.42857; float: left; width: 160px; overflow: hidden; clear: left; text-align: right; text-overflow: ellipsis; white-space: nowrap; color: rgb(51, 51, 51); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(244, 248, 250);"">Institution Name</dt><dd style=""line-height: 1.42857; margin-left: 180px; color: rgb(51, 51, 51); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(244, 248, 250);"">Mugneeram Bangur Memorial Engineering College, Rajasthan</dd><dt style=""line-height: 1.42857; float: left; width: 160px; overflow: hidden; clear: left; text-align: right; text-overflow: ellipsis; white-space: nowrap; color: rgb(51, 51, 51); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(244, 248, 250);"">Foss</dt><dd style=""line-height: 1.42857; margin-left: 180px; color: rgb(51, 51, 51); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(244, 248, 250);"">C and Cpp</dd><dt style=""line-height: 1.42857; float: left; width: 160px; overflow: hidden; clear: left; text-align: right; text-overflow: ellipsis; white-space: nowrap; color: rgb(51, 51, 51); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(244, 248, 250);"">Date</dt><dd style=""line-height: 1.42857; margin-left: 180px; color: rgb(51, 51, 51); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(244, 248, 250);"">Dec. 19, 2014</dd><dt style=""line-height: 1.42857; float: left; width: 160px; overflow: hidden; clear: left; text-align: right; text-overflow: ellipsis; white-space: nowrap; color: rgb(51, 51, 51); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(244, 248, 250);"">Participants Count</dt><dd style=""line-height: 1.42857; margin-left: 180px; color: rgb(51, 51, 51); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(244, 248, 250);"">51</dd><dt style=""line-height: 1.42857; float: left; width: 160px; overflow: hidden; clear: left; text-align: right; text-overflow: ellipsis; white-space: nowrap; color: rgb(51, 51, 51); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(244, 248, 250);"">Organiser&nbsp;</dt><div><span style=""background-color: rgb(244, 248, 250); color: rgb(51, 51, 51); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 13px;"">&nbsp; &nbsp; Rajesh Purohit</span>&nbsp;</div><div><br></div><div>Student Name Kusum Sankhala</div><div>Thanks in Advance...</div>",1
Dear&nbsp <div>Greetings..!!</div><div><br></div><div>Question : How to do verification of participant list in master list ?</div><div><br></div>,1
"<font size=""1"">What is the next date for the c &amp; cpp exam.please inform the correct date for the exam.</font>",1
"C Tutorial for beginners to learn c programming from scratch.. This tutorial site covers all topics related to c programming and explained with example programs.<div><a href=""http://cprogrammingexpert.com/"" target="""" title="""">C Tutorial</a></div><div><a href=""http://cprogrammingexpert.com/c-tutorial/c-basic-program/"" title="""" target=""_blank"">C Basic Program</a></div><div><br></div>",1
I have passed the test for CPP with 50% But my name is not printed on the cirtificate,1
Sir please suggest me good economical audio recording device.,1
how to attend online test,1
How can we take a certificate test for this course??&nbsp,1
"Hi,<div><br></div><div>I have added a batch of 86 students in the test schedule. But the master BATCH list contains 98 students. I would like to add those missing students name also to be presented in the Ongoing Test schedule list which is planned on 27 Dec 2017. How to add?</div><div><br></div><div>Please help.</div><div><br></div><div>Regards,</div><div>Muthu</div><div>9962585841</div>",1
I want to register for examination .In your system my college name is shown..It is Asansol Engineering College.if you allow me to register in your course it is highly thankful to me,1
limited offer : add at least 3 inches or get your money back !,1
take advantage of a special holiday season gift : get your complimentary artprice annual,1
"which will put you in place as the
beneficiary to this investment. please observe utmost confidentiality,and be rest assured that this transaction will be of mutual benefit , as you will be entitled to 30 % of the money and the remaining 70 % for my own investment.if you are
interested , reply me by email for further details .",1
"warning , your prescri . ption is about to expire
now you can or ] der val "" ium - xa + nax - viagr } a - ci , alis onl , ine .
8 o + % savi ' ngs orde ; ring on ] lineno prescr ) iption requireddocitorfda appr : ovedfedex overinight shi ^ pping
visit our site and order here",1
"i just heard
of this new drug called ilis and i thought you might
be interested in it . clis is the new rival to
viagra and is better",1
Get latest software at just Rs. 15000 Visit now at www.fposk.com,1
"play on ocean treasure casino , get $ 300 bonus !
grand opening - ocean treasure online casino .
enjoy real casino action on your desktop with these
exciting promotional offers :
get $ 300 bonus on your first deposit !
enter this code in the casino software",1
would you want cheap pain killers ? http : / / www . ixls . com /,1
cheap soft viagra. viagra soft tabs : perfect feeling of being men again. starts working within just 15 minutes .,1
"please come by our shop , see for yourself the massive range of products that we have
available . we do have the lowest price and huge stocks ready for same - day dispatch .",1
"do you take credit cards ?
if you do you will make more money . easy set up . . no credit checks - 100 % approval . . . .
make more money now !
try now",1
Get training from industry experts and assured internship on joining our programme. Assured placement guarantee on passing the exam. Visit now at www.careerbuzz.com for further information.,1
"congratulations ! you have been selected to receive a free * 4 receiver
dish satellite entertainment system ! risk free . click here to
schedule your free installation ( $ 446 . 00 value ) .
this is a special , limited - time
offer with no hidden costs . order
today and receive 3 months of programming free .
hurry
offer expires soon",1
Can i do programming on C or C++ for using OpenFOAM or i have to go another programming language?,0
"Dear Friends,<div>i am installing openfoam on ubuntu.</div><div>i am getting the following error:</div><div>icoFoam command not found.</div><div><br></div><div>kindly help.</div>",0
" In the tutorials OPENFOAM is used on linux(ubuntu),but since most of the people work on windows,so I want to ask if there is any way to install OPENFOAM.2.1.x &nbsp;and Paraview on Windows 8???.....<div><br></div>",0
"<div style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;""><b>I tried to install&nbsp; the OpenFOAM as instructions given in site, when i follow instruction number 15 at the end of process i am getting the following<br></b><br><br>W: GPG error:&nbsp;<a href=""http://ppa.launchpad.net/"" target=""_blank"" style=""color: rgb(17, 85, 204);"">http://ppa.launchpad.net</a>&nbsp;oneiric InRelease: File /var/lib/apt/lists/partial/<wbr>ppa.launchpad.net_ubuntu-<wbr>toolchain-r_test_ubuntu_dists_<wbr>oneiric_InRelease doesn't start with a clearsigned message<br>W: Failed to fetch&nbsp;<a href=""http://ppa.launchpad.net/ubuntu-toolchain-r/test/ubuntu/dists/oneiric/main/i18n/Index"" target=""_blank"" style=""color: rgb(17, 85, 204);"">http://ppa.launchpad.net/<wbr>ubuntu-toolchain-r/test/<wbr>ubuntu/dists/oneiric/main/<wbr>i18n/Index</a>&nbsp; No Hash entry in Release file /var/lib/apt/lists/partial/<wbr>ppa.launchpad.net_ubuntu-<wbr>toolchain-r_test_ubuntu_dists_<wbr>oneiric_main_i18n_Index<br><br>W: Failed to fetch gzip:/var/lib/apt/lists/<wbr>partial/ppa.launchpad.net_<wbr>ubuntu-toolchain-r_test_<wbr>ubuntu_dists_oneiric_main_<wbr>source_Sources&nbsp; Encountered a section with no Package: header<br><br>W: Failed to fetch gzip:/var/lib/apt/lists/<wbr>partial/ppa.launchpad.net_<wbr>ubuntu-toolchain-r_test_<wbr>ubuntu_dists_oneiric_main_<wbr>binary-i386_Packages&nbsp; Encountered a section with no Package: header<br><br>E: Some index files failed to download. They have been ignored, or old ones used instead.<br><b><br></b></div><b style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;"">and after this if i run 16th instruction I am getting</b><br style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;""><br style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;""><span style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;"">administrator@ubuntu:~/</span><wbr style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;""><span style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;"">OpenFOAM$ icoFoam -help</span><br style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;""><span style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;"">icoFoam: command not found</span><div><span style=""font-family: arial, sans-serif; font-size: 13.333333969116211px; line-height: normal;""><br></span></div>",0
"
        
        Please send the full details about this training project sir.
    <div><br></div>
    ",0
"Respected Sir, For my project in B.Sc. Physics at Lady Doak College Madurai, I am trying to get the fourier components of the output of an astable multivibrator I have used taken the inbuilt circuit from the library and followed the instructions similar to building the BJT amplifier (in the manual). While trying to modify the KiCad netlist for ngspice I tried to use the fourier tab but got no response. Please let me know how to go about this Thanking you sincerely sangeetha.",0
